,축제명,주소,연락처,시작일,종료일,위도,경도
328,더스테이힐링파크 썸캉스페스티벌 2020,경기도 가평군 설악면 한서로268번길 134,031-580-3800,2020-07-09,2020-08-31,37.6610364848,127.5224076923
329,더스테이힐링파크 피크닉페스티벌 2020,경기도 가평군 설악면 한서로268번길 134,031-580-3800,2020-05-01,2020-06-30,37.6610364848,127.5224076923
330,더예천2 삼강명탐정 : 죽은자들의 원혼 2020,경상북도 예천군 풍양면 삼강리길 53-23,02-861-1230,2020-08-21,2020-08-23,36.5638106829,128.3045577981
331,덕수궁 왕궁수문장교대의식,서울특별시 중구 세종대로 99,다산콜센터 02-120,2020-01-01,2020-12-31,37.5650460435,126.9761046145
332,덕수궁 정오음악회 2019,서울특별시 중구 세종대로 99,02-751-0742,2019-10-11,2019-10-25,37.5657876002,126.9748047119
333,덕수궁 풍류 2020,서울특별시 중구 세종대로 99,02-2270-1244,2020-06-05,2020-10-03,37.5658042673,126.9749158128
334,덕수리전통민속축제 2019,제주특별자치도 서귀포시 안덕면 일주서로 1836,064-760-4313,2019-10-05,2019-10-06,33.2511185624,126.3232516782
335,도두오래물축제 2019,제주특별자치도 제주시 도두3길 52,064-712-4567,2019-08-09,2019-08-11,33.5038151142,126.4671418413
336,도봉한글잔치 2019,서울특별시 도봉구 해등로32가길 16,02-905-4026,2019-10-09,2019-10-09,37.6630687705,127.0201589245
337,도솔산지구 전투전승행사 2020,강원도 양구군 양구읍 박수근로 366-24,033-480-2229,2020-06-19,2020-06-19,38.1042324178,127.9830220431
338,도심속 바다축제 2019,서울특별시 동작구 노들로 674,070-7462-1104,2019-10-12,2019-10-13,37.5149594984,126.9371540236
339,독립기념관 단풍나무숲길 힐링축제 2019,충청남도 천안시 동남구 목천읍 삼방로 95,041-560-0441,2019-11-09,2019-11-10,36.7835436192,127.2235706807
340,동래문화회관 기획전시 '일상은 00다' 2019,부산광역시 동래구 문화로 80,051-550-6611,2019-04-20,2019-05-22,35.2151806204,129.0881209724
341,동물보호문화축제 2019,대전광역시 서구 둔산로 100,042-250-1272,2019-09-28,2019-09-29,36.3504850621,127.3849680306
342,동심한마당 2019,서울특별시 영등포구 의사당대로 1,02-595-3325,2019-05-25,2019-05-25,37.5320321034,126.9141334174
343,동아시아 문화도시 2020,전라남도 순천시 국가정원1호길 47,032-567-4075,2020-05-01,2020-05-01,37.4476825423,126.7000664030
344,동아시아보자기페스티벌 2019,대구광역시 달서구 야외음악당로 180,053-803-3632,2019-11-09,2019-11-10,35.8511936140,128.5562249858
345,동인천 낭만시장 2019,인천광역시 동구 송현동 100,"032)899-7449, 7428",2019-11-16,2019-11-17,37.4767752107,126.6336383200
346,동편제마을 국악 거리축제 2020,전라북도 남원시 운봉읍 비전길 7,02-960-0714,2020-09-04,2020-09-06,35.4575258703,127.5626871293
347,동해 삼화사국행수륙대재 2019,강원도 동해시 삼화로 584,삼화사 033-534-7661~2,2019-10-18,2019-10-20,37.4635625691,129.0142539189
348,동해무릉제 2019,강원도 동해시 천곡로 77,033-530-2111,2019-10-04,2019-10-06,37.5247463591,129.1143347336
349,동화사 승시 국화축제 2019,대구광역시 동구 동화사1길 1,053-980-7900,2019-10-03,2019-10-06,35.9906472258,128.7044413599
350,둔덕 청마꽃들 코스모스 축제 2019,경상남도 거제시 둔덕면 방하2길 6,055-634-5432,2019-09-21,2019-09-27,34.8548244444,128.5172414841
351,디자인코리아 (DESIGN KOREA) 2019,경기도 고양시 일산서구 킨텍스로 217-60,031-780-2030,2019-11-06,2019-11-10,37.6689909419,126.7455782754
352,딸기송어축제 2020,경기도 양평군 단월면 곱다니길 55-2,031-775-5205,2019-12-06,2020-06-07,37.5144948588,127.6573663730
353,땅끝 해넘이해맞이축제 2020,전라남도 해남군 송지면 땅끝마을길 42,061-530-5159,2019-12-31,2020-01-01,34.2997663859,126.5275070462
354,라스트바캉스 태화강 치맥 페스티벌 2019,울산광역시 남구 성남동 337,052-244-2007~8,2019-08-22,2019-08-24,35.5521164218,129.3119670880
355,라이프플러스 시네마위크 2019,서울특별시 영등포구 여의동로 252,02.6101.1384 (운영시간 평일 10 AM-6 PM),2019-08-09,2019-08-17,37.5229197641,126.9415811732
356,라틴아메리카축제 2019,서울특별시 성북구 삼선동 1가 14,02-2241-6381~4,2019-09-28,2019-09-28,37.5875523218,127.0073566840
357,라페스타 비어페스티벌 2019,경기도 고양시 일산동구 무궁화로 20 주변,031-920-9600,2019-08-30,2019-09-01,37.6618949382,126.7675931299
358,랩배틀그라운드 2020,강원도 철원군 동송읍 금학로210번길 12-3,강원도 평화지역문화과 033-249-3938,2020-09-19,2020-09-19,38.2077505366,127.2201164918
359,러브인 프로방스 빛축제 2019,경기도 파주시 탄현면 새오리로 77,031-946-6352~3,2018-11-10,2019-04-30,37.7911367390,126.6849914835
360,레이크뮤직 페스티벌 2019,강원도 춘천시 이디오피아길 1,033-243-1812,2019-09-21,2019-09-22,37.8738208146,127.7117508840
361,레인보우 아일랜드 2020,경기도 가평군 가평읍 자라섬로 60,070-5165-3071,2020-09-26,2020-09-27,37.8208928790,127.5210475885
362,레저스포츠 페스티벌 2019,경상북도 구미시 낙동제방길 200,070-5101-6734,2019-09-27,2019-09-29,36.1311806135,128.3680615834
363,렛츠런파크 플라워 피크닉 페스티벌 2019,경기도 과천시 경마공원대로 107,1566-3333,2019-09-21,2019-09-29,37.4488129805,127.0129712084
364,로보월드 (Robotworld) 2019,경기도 고양시 일산서구 킨텍스로 217-60,(전화) 02-780-3074<br>(메일) info@robotworld.or.kr,2019-10-09,2019-10-12,37.6717044815,126.7437033703
365,로봇융합페스티벌 2019,대전광역시 유성구 엑스포로 107,042-250-1354,2019-08-02,2019-08-04,36.3749712688,127.3916889872
366,로하스박람회 (제주) 2019,제주특별자치도 제주시 노연로 80,064-722-3288,2019-08-09,2019-08-11,33.4850425303,126.4883848641
367,롯데월드 호러 할로윈 : The Invitation 2019,서울특별시 송파구 올림픽로 240,1661-2000,2019-08-30,2019-11-17,37.5112350469,127.0983644514
368,롯데월드 MAKE A MIRACLE WINTER 2019,서울특별시 송파구 올림픽로 240,1661-2000,2019-11-23,2019-12-31,37.5110683960,127.0981394766
369,롯데월드타워 국제 수직마라톤대회 2019,서울특별시 송파구 올림픽로 300,02-3496-7812,2019-04-06,2019-04-06,37.5136209882,127.1042832896
370,롯데월드타워 불꽃축제 2019,서울특별시 송파구 올림픽로 300,02-3213-6701,2019-05-04,2019-05-04,37.5136209882,127.1042832896
371,룸넘버 13,서울특별시 종로구 대학로11길 23,070-8780-3407,2019-01-01,2019-12-31,37.5820528365,127.0004130287
372,마노르블랑 동백꽃축제 2019,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,마노르블랑 064-794-0999,2019-12-01,2020-02-29,33.2548510403,126.2949957149
373,마노르블랑 유럽수국축제 2020,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,064-794-0999,2020-05-25,2020-08-31,33.2580867635,126.2930374799
374,마노르블랑 핑크뮬리축제 2019,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,064-794-0999,2019-09-09,2019-11-30,33.2548010467,126.2950512669
375,마니프서울국제아트페어 2019,서울특별시 서초구 남부순환로 2406,02-514-9292,2019-10-02,2019-10-07,37.4793094549,127.0137702756
376,마산 어시장축제 2019,경남 창원시 마산합포구 남성동 223-1,055-224-0009,2019-08-23,2019-08-25,35.2033753668,128.5773825051
377,마산국화축제 2019,경상남도 창원시 마산합포구 수산1길 74,055-225-2347,2019-10-26,2019-11-10,35.1998646204,128.5757382993
378,마산만날제 2019,경상남도 창원시 마산합포구 만날고개2길 10-11,055-296-2266,2019-09-14,2019-09-16,35.1854991283,128.5515713524
379,마약퇴치기원 걷기대회 2019,서울특별시 마포구 월드컵로 243-60,1566-1936,2019-11-02,2019-11-02,37.5635948207,126.8984228484
380,마켓을 여행하다 2020,서울특별시 중구 장충단로13길 20,02-1661-6925,2020-06-19,2020-06-21,37.5687878415,127.0076821872
381,마토예술제 '컬러 & 캐리커쳐 파티' 2019,경기도 평택시 팽성읍 안정쇼핑로 15,031-652-2996~7,2019-05-25,2019-05-25,36.9597812375,127.0443042205
382,마포나루 새우젓축제 2020,서울특별시 마포구 월드컵로 243-48,02-3153-8350,2020-10-16,2020-10-18,37.5633642833,126.8979117904
383,마포동네책축제 '여름 책 열음' 2019,서울특별시 마포구 성산로 128,02-3153-5854,2019-07-20,2019-07-20,37.5635061222,126.9084885998
384,만파식적제 2019,경상북도 경주시 알천북로 1,054-773-6252,2019-11-29,2019-12-01,35.8621295051,129.2067119536
385,만해축전 2019,강원도 인제군 북면 만해로 91,033-461-1588,2019-08-14,2019-08-14,38.1862375638,128.3166085986
386,메가쇼 시즌2 2020,서울특별시 강남구 남부순환로 3104,02-6677-3477,2020-08-27,2020-08-30,37.4957363721,127.0719811806
387,메이커 페어 서울 2019,서울특별시 마포구 증산로 87,02-2262-7316,2019-10-19,2019-10-20,37.5703467526,126.8950118577
388,메콩바자: 수공예품과 디자인상품 2019,부산광역시 해운대구 좌동로 162,051-775-2000,2019-11-29,2019-12-01,35.1751785093,129.1820888976
389,명성황후숭모제 2019,경기도 여주시 명성로 71,031-881-9730,2019-11-17,2019-11-17,37.2601909255,127.6561404952
390,명원세계차박람회 2020,서울특별시 강남구 영동대로 513,02-730-7191,2020-08-06,2020-08-09,37.5117592813,127.0591874466
391,명지 전어축제 2019,부산광역시 강서구 신포길17번길 27,051-271-3398,2019-08-20,2019-08-22,35.1118559793,128.9316540824
392,모두의 시민청 2019,서울특별시 중구 세종대로 110,02-739-5812,2019-07-26,2019-07-28,37.5665986816,126.9783710306
393,모두투어 여행박람회 2019,서울특별시 강남구 영동대로 513,02-2049-3325,2019-09-06,2019-09-08,37.5117592813,127.0591874466
394,모두하나대축제 2019,서울특별시 종로구 세종대로 지하 172,02-861-3020,2019-10-19,2019-10-19,37.5656098983,126.9778738825
395,목재문화페스티벌 2019,대전광역시 서구 청사로 189,1833-3197,2019-10-18,2019-10-19,36.3614254763,127.3849288483
396,목포 문화재야행 2019,전라남도 목포시 영산로75번길 5 근대역사문화공간,061-270-8321,2019-10-26,2019-10-26,34.7896785040,126.3842968662
397,목포항구축제 2020,전라남도 목포시 삼학로92번길 68,061-270-8441,2020-10-08,2020-10-11,34.7828349612,126.3922741039
398,무등울림 2020,광주광역시 동구 의재로 222,062-232-1501,2020-10-16,2020-10-18,35.1336797291,126.9523771168
399,무섬외나무다리축제 2020,경상북도 영주시 문수면 무섬로234번길 41,054-630-8703,2020-10-10,2020-10-11,36.7316057476,128.6213025371
400,무역센터 겨울축제 '코엑스 윈터페스티벌' 2019,서울특별시 강남구 영동대로 513,코엑스 전략사업팀 (02-6000-8120/1106),2019-12-19,2019-12-31,37.5117592813,127.0591874466
401,무주산골영화제 2020,"무주태권도원, 서울극장, 서울아트시네마",063-245-6400,2020-08-27,2020-09-13,35.9986599355,127.7756483114
402,무창포 신비의 바닷길 대하·전어 축제 2019,충청남도 보령시 웅천읍 열린바다2길 46,무창포어촌계 041)936-3510,2019-09-21,2019-10-13,36.2484264279,126.5370356477
403,무창포 신비의 바닷길축제 2019,충청남도 보령시 웅천읍 열린바다1길 10,041-936-3561,2019-08-30,2019-09-01,36.2452490024,126.5363219057
404,무한청춘페스티벌 ‘약사랜드’ 2019,강원도 춘천시 약사고개길49번길 13,010-4718-3836,2019-10-04,2019-10-06,37.8750098639,127.7277827220
405,문경 드론축제 2019,경상북도 문경시 점고길 21,054-433-0072 / 054-550-6560,2019-08-16,2019-08-17,36.5944771989,128.1856036400
406,문경 사과장터 2019,경상북도 문경시 문경읍 새재로 932,054-571-7677,2019-10-12,2019-10-27,36.7615977206,128.0769835905
407,문경 산악체전 2019,경상북도 문경시 문경읍 새재로 932,054-550-6915,2019-10-19,2019-10-20,36.7615977206,128.0769835905
408,문경 오미자축제 2019,경상북도 문경시 동로면 적성교,054-571-7677,2019-09-20,2019-09-22,36.7715009920,128.3147176132
409,문경 칠석차문화제 2019,경상북도 문경시 모전동 산 30-2,문경다례원 054-553-9876,2019-08-03,2019-08-03,36.5873919232,128.1869564979
410,문경달빛사랑여행 2020,경상북도 문경시 문경읍 문경대로 2416,054-571-7677,2020-06-13,2020-08-22,36.7415612525,128.0836724515
411,"문학주간 '문학, 다음으로 가는 길' 2019",서울특별시 종로구 대학로8길 1,02-733-1399,2019-08-31,2019-08-31,37.5809974394,127.0023906561
412,문화가 있는 날 [농(農) 리브 디 아트] 2020,충청북도 청주시 청원구 내수읍 청암로 458,0507-1341-1731,2020-08-29,2020-08-30,36.7162131875,127.5735521965
413,문화가 흐르는 서울광장 2019,서울특별시 중구 세종대로 110,-,2019-04-01,2019-10-31,37.5693955409,126.9762683654
414,문화로 토닥토닥 2020,서울특별시 양천구 신정이펜1로 20,02-3443-2695,2020-08-18,2020-11-30,37.5120718669,126.8331663588
415,문화예술교육 여름캠프 '형이상상形而想像' 2019,경기도 수원시 권선구 서둔로 166,031-853-9829,2019-08-24,2019-08-24,37.2668280232,126.9850344071
416,문화의거리 치맥축제 2019,강원도 원주시 중앙로 76,033 734-8881,2019-08-14,2019-08-17,37.3483223197,127.9520334545
417,물맑은양평 빙어축제 2020,경기도 양평군 단월면 곱다니길 55-2,031-775-5205,2019-12-06,2020-02-16,37.5144948588,127.6573663730
418,뮤지컬 김종욱찾기,서울특별시 종로구 대학로12길 73,02-766-7667,2019-01-01,2019-12-31,37.5808113771,127.0039349650
419,뮤직드라마 당신만이,서울특별시 종로구 이화장길 26,070-8245-2602,2019-01-01,2019-12-31,37.5766424167,127.0039128630
420,미디어아트진찬연 <한중록 1795> 2019,경기도 수원시 팔달구 행궁로 11,031-290-3572,2019-10-04,2019-10-05,37.2810769133,127.0152812635
421,미소&행복 구민축제 2019,대구광역시 서구 문화로 72,053-663-2183,2019-10-13,2019-10-13,35.8734130400,128.5409896000
422,미술주간 2019,서울특별시 종로구 삼청로 30,02-2098-2930,2019-09-25,2019-10-09,37.5786500878,126.9800038741
423,미추홀 윈터마켓 (Winter Market) 2019,인천광역시 주안역 남광장 일원,032)899-7449,2019-12-21,2019-12-22,37.4649690789,126.6805899202
424,민둥산억새꽃축제 2019,강원도 정선군 남면 민둥산로 12,033-591-9141,2019-09-27,2019-11-10,37.2545071340,128.7811616983
425,밀양 공연예술축제 2020,경상남도 밀양시 부북면 창밀로 3097-16,055-355-2308,2020-08-01,2020-08-16,35.5334627837,128.7046512764
426,밀양강 상설프로그램 - 밀양강이 들려주는 밀양아리랑 2020,경상남도 밀양시 삼문동 244-2,055-355-4506,2020-05-09,2020-09-19,35.4899880558,128.7552785917
427,밀양대추축제 2019,경상남도 밀양시 단장면 아불2길 6,밀양시 산림녹지과 055-359-5351~4,2019-10-19,2019-10-20,35.5239231734,128.9085003535
428,밀양아리랑 국제요가페스티벌 2019,경상남도 밀양시 밀양대공원로 112,02-512-7798,2019-09-28,2019-09-29,35.5043781614,128.7584973591
429,바캉스페스티벌 2019,강원 삼척시 근덕면 하맹방리 12-1,070-7713-0325,2019-08-02,2019-08-04,37.3879477495,129.2321228474
430,박달 가요제 2019,충청북도 제천시 동명로 77,043-641-5114,2019-10-19,2019-10-19,37.1361765683,128.2084832264
431,밤마리오광대탈춤축제 2019,경상남도 합천군 덕곡면 율지2길 16,010-4112-5239,2019-11-09,2019-11-09,35.6147306361,128.3590460682
432,밥상뒤집기대회 2019,서울특별시 관악구 관악로 145,010-9442-9938,2019-05-11,2019-05-11,37.4809497778,126.9493705358
433,백수해안도로 노을축제 2020,전라남도 영광군 백수읍 해안로 950,010-8624-0686,2020-10-03,2020-10-04,35.3517483998,126.3895604695
434,백제문화제 2020,충청남도 부여군 규암면 백제문로 386-6,041-635-6980,2020-09-26,2020-10-04,36.3050233941,126.8987016918
435,벌교꼬막&문학축제 2019,전라남도 보성군 벌교읍 벌교천1길 19,061-857-7676,2019-10-31,2019-11-03,34.8447578496,127.3464885467
436,베어트리파크 철쭉제 2020,세종특별자치시 전동면 신송로 217,044)863-2220,2020-04-17,2020-05-10,36.6704147109,127.2095361586
437,벽초지문화수목원 국화축제 2019,경기도 파주시 광탄면 부흥로 242,031-957-2004,2019-09-28,2019-10-27,37.8004973858,126.8754182294
438,벽초지수목원 튤립축제 2020,경기도 파주시 광탄면 부흥로 242,031-957-2004,2020-04-11,2020-05-05,37.8005668228,126.8754543355
439,별망성예술제 2019,경기도 안산시 단원구 선부동 선부광장,031-485-3844,2019-09-27,2019-09-29,37.3343697640,126.8044072727
440,별빛정원우주 365일 별빛축제 2020,경기도 이천시 마장면 덕이로154번길 287-76,031-645-0002,2020-01-01,2020-12-31,37.2412993636,127.3897540042
441,보드게임콘 대전 2020,대전광역시 유성구 엑스포로 107 대전컨벤션센터,070-8611-9803,2020-09-26,2020-09-27,36.3752740158,127.3919056259
442,보령 김축제 2019,충청남도 보령시 해수욕장10길 6,"041-930-6761,3",2019-11-01,2019-11-03,36.3153821884,126.5106029467
443,보성 일림산 철쭉제 2019,전라남도 보성군 웅치면 용반리 산 123-3,061-850-5482,2019-05-04,2019-05-06,34.6920221291,127.0131993942
444,보성차밭빛축제 2020,전라남도 보성군 보성읍 녹차로 775,061-850-5211~4,2019-11-29,2020-01-05,34.7198757111,127.0817371312
445,보신각타종행사,서울특별시 종로구 종로 54,02-2133-2641,2020-01-01,2020-12-31,37.5697984025,126.9835621340
446,보은 대추축제 2020,충청북도 보은군 보은읍 뱃들로 54,043-540-3392,2020-10-16,2020-10-25,36.4863477960,127.7232423965
447,복정동 어울림 빛 축제 2019,경기도 성남시 수정구 복정로 144,031-729-5841,2019-12-01,2019-12-31,37.4658713850,127.1270964581
448,봉녕사 사찰음식 대향연 2019,경기도 수원시 팔달구 창룡대로 236-54,031-256-4127,2019-10-04,2019-10-05,37.2912761380,127.0380178033
449,봉양 자두체험행사 2019,경상북도 의성군 봉양면 도리원4길 34,054-830-5195,2019-07-13,2019-07-13,36.3033788835,128.5824627422
450,봉화송이축제 2020,경상북도 봉화군 봉화읍 봉화로 1111,054-679-6341,2020-10-08,2020-10-11,36.8931448983,128.7317268600
451,봉황대 뮤직스퀘어 2019,경상북도 경주시 노동동 261번지,054-777-6929,2019-08-02,2019-08-30,35.8412847117,129.2106871982
452,부산 동래민속예술축제 2019,부산광역시 동래구 우장춘로 195-46,부산민속예술관 사무국 051-555-0092,2019-05-04,2019-05-04,35.2256680580,129.0731719858
453,부산 마이스페스티벌 2019,부산광역시 해운대구 APEC로 55,051-740-7821,2019-09-19,2019-09-20,35.1691116738,129.1363347095
454,부산 매직서커스 2019,부산광역시 기장군 기장읍 기장해안로 147,051-626-7002,2019-04-12,2019-12-29,35.1953128940,129.2105275371
455,부산 불꽃축제 2020,부산광역시 수영구 광안해변로 219,051-501-6051,2020-11-07,2020-11-07,35.1537908369,129.1184922375
456,부산 삼락벚꽃축제 2020,부산광역시 사상구 삼락동 686,051-310-3002,2020-03-28,2020-03-28,35.1685282437,128.9770930280
457,부산 수제맥주축제 2019,부산광역시 부산진구 서면문화로 32,051-715-7115,2019-06-13,2019-06-16,35.1630469443,129.0541031405
458,부산 아울렛 삼거리 페스티벌 2019,부산광역시 기장군 장안읍 정관로 1133,1644-4001,2019-05-18,2019-05-26,35.3268069043,129.2326914133
459,부산 영도다리축제 2020,부산광역시 영도구 동삼동,051-419-4062,2020-10-16,2020-10-18,35.0954041962,129.0366953911
460,부산 원도심 스토리 투어,부산광역시 중구 구덕로 31,051-780-2175,2019-01-01,2019-12-31,35.0976955253,129.0322901564
461,부산 원도심골목길축제 2019,부산광역시 중구 중구로 120,051-501-6050,2019-05-25,2019-05-26,35.1062251276,129.0323788050
462,부산 의료기기 전시회 KIMES BUSAN 2020,부산광역시 해운대구 APEC로 55,02-551-0102,2020-10-23,2020-10-25,35.1691116738,129.1363347095
463,부산 조선통신사축제 2020,부산광역시 중구 용두산길 35-26,051-744-7707,2020-10-24,2020-10-25,35.1004841098,129.0326928231
464,부산 차이나타운특구 문화축제 2019,부산광역시 동구 대영로243번길,051-440-4062,2019-10-18,2019-10-20,35.1150715117,129.0406000711
465,부산 코믹월드 2020,부산광역시 해운대구 APEC로 55,051-583-2470,2020-09-26,2020-09-27,35.1690700054,129.1359569660
466,부산 토요상설 전통민속놀이마당 2019,부산광역시 중구 용두산길 37-55,(재)부산문화재단 문화유산팀 051-745-7274,2019-04-06,2019-10-26,35.1009479421,129.0324678301
467,부산 펫팸 페스티벌 2019,부산광역시 해운대구 수영강변대로 120,051-714-4138,2019-06-07,2019-06-09,35.1738664834,129.1247939167
468,부산 한가위 추석 선물대축제 2020,부산광역시 해운대구 APEC로 55,051-723-8318,2020-09-10,2020-09-14,35.1691366711,129.1363402640
469,부산고등어축제 2019,부산광역시 서구 송도해변로 100,051-240-4062,2019-10-25,2019-10-27,35.0768337102,129.0181252895
470,부산공연예술축제 2019,부산광역시 동래구 문화로 80,극단 맥: 051-625-2117,2019-05-04,2019-05-05,35.2118865776,129.0898542458
471,부산국제단편영화제 2020,부산광역시 해운대구 수영강변대로 120,051-742-9600,2020-08-27,2020-08-31,35.1713084771,129.1269826847
472,부산국제매직페스티벌 2019,부산광역시 해운대구 수영강변대로 120,051-626-7002,2019-06-25,2019-06-30,35.1707946470,129.1270576924
473,부산국제무용제 2020,부산광역시 해운대구 달맞이길62번길 47,051-868-7881~2,2020-09-11,2020-09-13,35.1580163619,129.1723763250
474,부산국제식품대전 2020,부산광역시 해운대구 APEC로 55,02-588-2489,2020-06-17,2020-06-20,35.1689089062,129.1356514414
475,부산국제아트페어 2020,부산광역시 해운대구 APEC로 55,051-806-1004,2020-12-03,2020-12-07,35.1689089062,129.1356514414
476,부산국제어린이청소년영화제 2020,부산광역시 해운대구 수영강변대로 120,051-743-7652,2020-07-07,2020-07-13,35.1707752050,129.1270688034
477,부산국제연극제 2019,부산광역시 부산진구 신천대로165번길 6,051-802-8003,2019-05-17,2019-05-26,35.1272127941,129.0934562537
478,부산국제영화제 2019,부산광역시 해운대구 수영강변대로 120,부산사무국 1688-3010<br />서울사무소 02-3675-5097,2019-10-03,2019-10-12,35.1707946470,129.1270576924
479,부산국제차공예박람회 2020,부산광역시 해운대구 APEC로 55,051-740-7705~7,2020-06-18,2020-06-21,35.1690700054,129.1359569660
480,부산국제코미디페스티벌 2020,부산광역시 해운대구 수영강변대로 120,051-916-8828,2020-08-21,2020-08-30,35.1717167754,129.1275659567
481,부산국제합창제 2019,부산광역시 해운대구 수영강변대로 120,070-4172-0682,2019-10-15,2019-10-19,35.1707946470,129.1270576924
482,부산금정거리예술축제 2019,부산광역시 금정구 장전온천천로 48,051-512-3455,2019-10-04,2019-10-06,35.2296290236,129.0893260259
483,부산나이트워크42K 2020,부산 사상구 삼락동 29-46,070-4705-2532,2020-08-15,2020-08-16,35.1692058662,128.9727489430
484,부산수제맥주페스티벌 2019,부산광역시 해운대구 APEC로 55,051-740-7400~7401,2019-09-25,2019-09-29,35.1691116738,129.1363347095
485,부산스토리텔링축제 2019,부산 동래구 사직동 930-2 부산아시아드 조각광장,051-505-2030,2019-09-28,2019-09-29,35.1931103961,129.0624154826
486,부산예술제 2019,부산광역시 남구 용소로 78,051-631-1377,2019-10-17,2019-10-27,35.1306903499,129.1025053716
487,부산원아시아페스티벌 2019,"부산광역시 북구 화명동 화명생태공원, 해운대 구남로(해운대 문화광장) 등 부산전역",BOF 사업팀 051-780-4144,2019-10-19,2019-10-25,35.2313022594,129.0039806357
488,부산자갈치축제 2020,부산광역시 중구 자갈치해안로 52,051-243-9363,2020-10-08,2020-10-11,35.0966650543,129.0306014426
489,부산커피쇼 (Busan Coffee show) 2020,부산광역시 해운대구 APEC로 55,02-588-2489,2020-06-17,2020-06-20,35.1690700054,129.1359569660
490,부산콘텐츠유니버시아드 (BCU) 2019,부산광역시 해운대구 수영강변대로 140,051-747-1905,2019-11-21,2019-11-24,35.1728721628,129.1254661073
491,부산크리스마스트리문화축제 2019,부산광역시 중구 광복로 58-2,051-243-3927,2019-11-16,2020-01-05,35.0990842439,129.0314790780
492,부산평생학습주간 2019,부산광역시 동구 중앙대로 206 부산유라시아플랫폼(부산역 광장),051-580-9013,2019-10-25,2019-10-26,35.1176435282,129.0450884994
493,부산항축제 2019,부산광역시 영도구 해양로301번길 17,051-501-6051,2019-05-25,2019-05-26,35.0807732826,129.0791754311
494,부안 님의뽕축제 2019,전라북도 부안군 변산면 중계리,063-584-7070,2019-08-02,2019-08-06,35.6508812750,126.5668316452
495,부여문화재야행 2019,충청남도 부여군 부여읍 정림로 83,041-830-2217,2018-04-06,2018-04-07,36.2790099523,126.9128788876
496,부천 국제판타스틱영화제 2020,경기도 부천시 송내대로 239,032-327-6313,2020-07-09,2020-07-16,37.5042103105,126.7567179941
497,부천 생활문화페스티벌 다락(多樂) 2020,경기도 부천시 장말로 107,032-320-6387~8,2020-08-10,2020-08-23,37.4948363559,126.7542268168
498,부천 소사복숭아축제 2019,경기도 부천시 성주로23번길 22,032-625-6033,2019-08-23,2019-08-24,37.4813297020,126.7604377386
499,부천 아인스월드 빛축제 - 세계야경 판타지 빛축제 2020,경기도 부천시 원미구 도약로 1,032-320-6000,2020-01-01,2020-12-31,37.5124341734,126.7464881422
500,부천 전국비보이대회 2019,경기도 부천시 부천로 1,032-625-3113,2019-04-20,2019-04-20,37.4840214493,126.7826245299
501,부천국제만화축제 2020,경기도 부천시 길주로 1,032-310-3073,2020-09-18,2020-09-20,37.5081512657,126.7424497412
502,부천국제애니메이션페스티벌 2019,경기도 부천시 원미구 길주로 1,032-325-2061,2019-10-18,2019-10-22,37.5090761579,126.7424330498
503,부천로보파크  Fun & Joy 페스티벌 2019,경기도 부천시 평천로 655,070-7094-5479,2019-05-05,2019-05-05,37.5168950776,126.7640808572
504,부천세계비보이대회 (Bucheon Bboy International Championship) 2020,경기도 부천시 부천로 3,032.324.5989,2020-09-25,2020-09-27,37.4846908118,126.7823328711
505,부천전국대학가요제 2019,경기도 부천시 부천로 1,032-625-3113,2019-08-29,2019-09-21,37.4840214493,126.7826245299
506,부천판타지아 로봇페스티벌 2019,경기도 부천시 석천로 293,070-7094-5475,2019-09-21,2019-09-22,37.5128094389,126.7639254298
507,부평음악도시축제 뮤직게더링 2019,인천광역시 부평구 아트센터로 168,032-500-2042,2019-10-11,2019-10-12,37.4830090594,126.7038428531
508,부평풍물대축제 2020,인천광역시 부평구 부평대로 168,032-509-7516,2020-10-16,2020-10-18,37.5070399183,126.7218183207
509,북한산 韓문화 페스티벌 2019,서울특별시 은평구 대서문길,02-351-6502,2019-10-09,2019-10-09,37.6560210851,126.9487906372
510,불무도와 함께하는 문화예술제 2019,부산광역시 해운대구 장산로 427-291,010-2113-8805,2019-09-28,2019-09-28,35.1948038167,129.1673868582
511,붕붕카 경주대회 2019,서울특별시 마포구 증산로 87,010-5170-0750,2019-10-27,2019-10-27,37.5703995248,126.8950451862
512,블링블링,서울특별시 종로구 동숭길 68,02-3673-1590,2019-01-01,2018-12-31,37.5813113251,127.0042904741
513,비건페스타 2020,서울특별시 강남구 남부순환로 3104,02-2223-1853,2020-08-07,2020-08-09,37.4957363721,127.0719811806
514,비어페스트 광주 (Beer Fest Gwangju) 2019,광주광역시 서구 상무누리로 30,062-611-2142,2019-07-11,2019-08-18,35.1498370921,126.8384367851
515,비음산 산성 철쭉제 2019,경상남도 창원시 성산구 창이대로 681,창원문화원 055-284-8870,2019-04-27,2019-04-27,35.2358160611,128.7240993684
516,빈 소년 합창단 신년음악회 2020,서울특별시 송파구 올림픽로 300,1544-7744,2020-01-18,2020-01-19,37.5126099637,127.1025668077
